Genre Name               # Movies
Film-Noir            	 87        
Action               	 1828      
Adventure            	 1263      
Horror               	 978       
Romance              	 1596      
War                  	 382       
Western              	 167       
Documentary          	 440       
Sci-Fi               	 980       
Drama                	 4361      
Thriller             	 1894      
(no genres listed)   	 34        
Crime                	 1199      
Fantasy              	 779       
Animation            	 611       
IMAX                 	 158       
Comedy               	 3756      
Mystery              	 573       
Children             	 664       
Musical              	 334       


	 Number of Movies per Year per Genre
Genres               Years:	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	
Film-Noir                   	0	0	0	0	1	0	1	2	1	1	2	0	2	1	1	1	1	4	1	0	0	1	0	0	0	3	1	0	0	1	1	2	1	0	0	0	0	0	0	0	0	

 Action                     	18	20	14	15	17	23	27	31	29	33	35	26	31	43	40	44	41	51	47	34	39	48	45	66	63	59	49	48	73	59	65	55	56	61	62	63	48	38	17	0	0	

 Adventure                  	12	15	10	9	18	31	24	17	18	16	20	18	12	19	30	29	35	26	31	19	23	26	37	32	44	43	38	33	50	37	30	40	31	39	35	45	36	24	12	0	0	

 Horror                     	18	16	15	13	12	16	23	28	24	11	23	9	13	12	15	19	15	18	14	22	23	19	27	25	28	36	33	43	23	41	24	20	27	22	28	36	16	13	4	0	0	

 Romance                    	10	9	12	7	12	22	15	28	23	16	26	31	36	33	41	49	53	51	56	46	57	66	58	51	52	50	54	47	47	41	41	37	31	27	35	21	18	6	1	0	0	

 War                        	3	5	3	2	5	5	4	8	7	5	8	1	4	5	6	14	3	7	8	4	7	13	8	11	13	12	10	13	16	7	7	6	5	6	8	2	3	3	0	0	0	

 Western                    	1	0	1	1	0	2	1	3	2	1	4	2	3	3	7	6	1	0	2	2	3	3	2	2	3	2	1	3	5	2	5	2	1	1	3	4	1	2	0	0	0	

 Documentary                	1	2	5	5	2	4	0	1	4	2	2	4	6	3	7	6	12	8	12	13	14	12	28	22	25	24	23	18	20	12	17	22	11	8	17	19	13	10	2	0	0	

 Sci-Fi                     	14	12	11	10	18	18	19	20	17	17	17	13	10	14	11	20	21	22	28	17	20	17	27	23	31	19	25	29	32	44	19	32	28	32	32	41	29	18	14	0	0	

 Drama                      	32	31	29	29	35	45	55	56	67	60	62	63	78	99	114	123	128	125	122	124	138	148	150	129	128	140	146	142	113	131	102	110	92	98	117	101	69	45	9	0	0	

 Thriller                   	10	19	13	13	13	18	21	24	29	20	32	22	32	32	35	42	61	64	52	48	59	53	72	60	57	68	76	77	60	72	56	64	54	50	60	57	41	22	14	0	0	

 (no genres listed)         	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	2	0	3	7	4	0	0	0	

 Crime                      	5	7	5	8	7	11	19	21	19	22	24	17	23	20	27	33	32	33	36	19	39	36	49	48	36	42	35	40	40	39	23	26	32	35	38	30	15	13	6	0	0	

 Fantasy                    	2	8	7	7	11	16	10	16	16	13	15	14	9	15	16	16	13	15	19	17	18	20	20	18	29	22	38	24	31	32	29	19	23	28	15	21	22	14	7	0	0	

 Animation                  	1	5	6	5	4	4	9	9	11	9	6	6	8	9	12	13	9	11	18	8	18	17	13	20	18	15	26	22	23	32	18	26	25	26	15	19	22	18	3	0	0	

 IMAX                       	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	1	3	1	1	0	2	3	3	4	7	6	8	10	15	20	25	29	14	1	0	0	0	0	0	

 Comedy                     	29	32	32	31	40	54	54	77	72	71	59	69	69	77	111	91	108	94	99	113	117	127	116	109	111	120	118	102	104	111	97	101	103	89	116	104	75	56	17	0	0	

 Mystery                    	6	7	6	4	2	7	7	7	10	6	6	10	5	12	8	18	10	21	11	14	8	19	21	21	19	17	25	14	15	24	16	16	9	14	16	16	8	6	5	0	0	

 Children                   	2	3	6	5	5	11	10	8	10	9	8	7	13	17	24	29	23	25	24	13	17	12	19	23	19	25	22	14	22	17	17	19	10	8	15	14	13	9	3	0	0	

 Musical                    	4	3	8	3	7	1	4	2	6	3	3	7	5	4	3	4	9	6	8	4	4	7	11	7	8	8	6	9	9	7	6	3	7	1	5	1	0	0	0	0	0	

